id;name_topic;description;view;test;level;file_practice;created_at;updated_at
1;Loan;generation systemic Reduced;37620;90730;2905;infomediaries overriding haptic;2022-01-29;2022-01-28
2;Convertible Incredible;deposit;74995;47518;38292;virtual Fish;2022-01-28;2022-01-29
3;Tunnel Table JSON;invoice Account;21088;20827;20716;Buckinghamshire;2022-01-28;2022-01-29
4;Organic Avon AGP;copy;23449;66006;62137;Tasty;2022-01-28;2022-01-28
5;Forward purple firewall;Security;87172;38508;1781;lavender;2022-01-28;2022-01-28
6;Arkansas;Customer;71331;5872;62651;Intuitive bleeding-edge protocol;2022-01-28;2022-01-28
7;explicit functionalities;Plastic 24/365;57367;59317;65399;red;2022-01-28;2022-01-28
8;National plug-and-play Senior;Agent;30565;65776;16301;cutting-edge ivory;2022-01-28;2022-01-29
9;Canada Branding;orchestrate Balanced Research;64285;68425;64001;Silver generation;2022-01-29;2022-01-29
10;orange California Singapore;Cotton Associate Buckinghamshire;42043;40632;13816;Account Practical;2022-01-29;2022-01-28
