id;answer_a;answer_b;answer_c;answer_d;created_at;updated_at
1;empower;mobile;firewall;connect compress Yemen;2022-01-29;2022-01-28
2;Frozen collaborative Advanced;Market multi-byte Executive;foreground Kids invoice;payment transparent;2022-01-28;2022-01-28
3;Rwanda Optimization orange;backing Mobility synergistic;Developer;Ergonomic Carolina Rustic;2022-01-28;2022-01-29
4;Gorgeous Administrator;Iceland York Steel;card payment Tasty;Ball Plastic;2022-01-28;2022-01-28
5;Chips withdrawal Steel;Sudanese;Horizontal Shoes;clicks-and-mortar;2022-01-29;2022-01-29
6;deliver;Group Assistant;deposit Engineer Cotton;deposit relationships;2022-01-28;2022-01-29
7;Shoals;groupware Rand Designer;override;connect withdrawal Loan;2022-01-29;2022-01-29
8;Account Gorgeous deliverables;Licensed Sleek;Computers Assimilated;Divide Chair deploy;2022-01-28;2022-01-28
9;purple;Savings Practical Car;Representative;bandwidth Consultant;2022-01-28;2022-01-29
10;Account copy relationships;Intelligent Dinar;local;Uy;2022-01-28;2022-01-28
