id;answer_a;answer_b;answer_c;answer_d;created_at;updated_at
1;Fish drive;Stravenue Small Sleek;Avon;Engineer;2022-01-28;2022-01-28
2;Sports Lead Jewelery;Uruguay Cotton;Dynamic Borders;Curve;2022-01-28;2022-01-28
3;Market Salad AGP;Illinois Intelligent;Reduced;Internal;2022-01-28;2022-01-28
4;Usability;asymmetric Springs;Gorgeous;aggregate Planner tan;2022-01-28;2022-01-28
5;drive;withdrawal Hryvnia Central;Oklahoma North;Product;2022-01-28;2022-01-28
6;digital Director grey;Road;Auto Borders deposit;Investment;2022-01-29;2022-01-28
7;Tala;multimedia Senior generating;Central;magnetic;2022-01-28;2022-01-28
8;Berkshire fuchsia;paradigm;Health Cambridgeshire Money;Architect;2022-01-29;2022-01-28
9;compressing;Creative Bike;up methodical;Mali Hampshire Product;2022-01-28;2022-01-28
10;Loop Strategist Soft;bus facilitate;matrix Island;backing Curve Front-line;2022-01-28;2022-01-28
